Time,Position,Strain,
169.539,0.265979168,,
169.589,0.265921917,,
169.639,0.26591101,,
169.689,0.265884992,,
169.739,0.265865531,,
169.789,0.265872714,,
169.839,0.265834388,,
169.889,0.265804079,,
169.939,0.265794006,,
169.989,0.265792933,,
170.039,0.265792814,,
170.089,0.265786436,,
170.139,0.265729335,,
170.189,0.265761819,,
170.239,0.265766141,,
170.289,0.265727249,,
170.339,0.265784022,,
170.389,0.265711722,,
170.439,0.265728232,,
170.472,0.265724447,,
170.57,0.258526412,,
170.62,0.254474488,,
170.685,0.249164727,,
170.735,0.24514949,,
170.785,0.241062072,,
170.835,0.237006855,,
170.885,0.23298378,,
170.935,0.228933689,,
171.002,0.223507655,,
171.052,0.219436568,,
171.127,0.213430447,,
171.177,0.209297759,,
171.271,0.20176096,,
171.354,0.19505353,,
171.404,0.19096337,,
171.454,0.186932949,,
171.504,0.18291117,,
171.554,0.178890703,,
171.642,0.17172396,,
171.692,0.167750133,,
171.742,0.163644819,,
171.792,0.159656836,,
171.842,0.155637709,,
171.892,0.151611699,,
171.942,0.147601126,,
171.992,0.143506361,,
172.042,0.139481647,,
172.092,0.135482816,,
172.142,0.131381048,,
172.213,0.125699757,,
172.263,0.121672167,,
172.313,0.117585464,,
172.363,0.113556518,,
172.413,0.109564392,,
172.463,0.105530551,,
172.481,0.104191123,,
172.488,0.104437119,,
172.492,0.104819736,,
172.566,0.11105284,,
172.653,0.118128321,,
172.703,0.122175901,,
172.753,0.126292302,,
172.803,0.130286975,,
172.837,0.133040069,,
172.887,0.137128754,,
172.937,0.141161559,,
172.987,0.145185916,,
173.037,0.149300573,,
173.087,0.153349964,,
173.137,0.157432003,,
173.187,0.161470322,,
173.237,0.165548621,,
173.287,0.16954769,,
173.308,0.171235395,,
173.358,0.175348906,,
173.408,0.179359166,,
173.458,0.183409763,,
173.508,0.187441585,,
173.558,0.191459937,,
173.606,0.195349915,,
173.656,0.199394626,,
173.706,0.20341563,,
173.756,0.207497699,,
173.806,0.211516378,,
173.856,0.21556106,,
173.906,0.219588277,,
173.956,0.223623824,,
174.006,0.227721077,,
